bus,rel_h,ceiling_evasion_rate,ceiling_median_chi2_over_tau,scaled_evasion_rate,scaled_median_chi2_over_tau,scaled_sds_fraction
30,0.001,1.0,0.4049274633425926,1.0,0.016568755508222573,0.2022815758517316
30,0.005,0.0,10.09230345669806,1.0,0.4129552169874548,0.2022815758517316
30,0.01,0.0,38.93970892220845,0.02,1.593328620804273,0.2022815758517316
30,0.02,0.0,133.43539060415648,0.0,5.459887419870888,0.2022815758517316
30,0.05,0.0,393.01050943355955,0.0,16.081139543398617,0.2022815758517316
57,0.001,1.0,0.18111595012653864,1.0,0.0023447213275449037,0.1137803505959892
57,0.005,0.0,4.381274191038042,1.0,0.05671983627268439,0.1137803505959892
57,0.01,0.0,16.598271385790447,1.0,0.21488069323243192,0.1137803505959892
57,0.02,0.0,57.17639847452484,1.0,0.7402038353980418,0.1137803505959892
57,0.05,0.0,157.61253849849447,0.0,2.040446908445761,0.1137803505959892
118,0.001,1.0,0.5099671409111317,1.0,0.0008810882106880331,0.04156603492989305
118,0.005,0.0,11.5950522932012,1.0,0.020033180686108428,0.04156603492989305
118,0.01,0.0,36.43564513217173,1.0,0.06295114880816152,0.04156603492989305
118,0.02,0.0,79.43171589349284,1.0,0.1372369762950547,0.04156603492989305
118,0.05,0.0,115.06739133272437,1.0,0.19880598925795764,0.04156603492989305
